PC1,PC2,type
-71.5717222743,3.03107181729,1
-9.26057512706,-3.0632265135,1
-74.2939437476,-12.4655052025,1
21.6353135548,17.9449002303,1
-65.7171434085,-57.4355445084,1
-76.4174598547,-28.3273528049,1
-42.0876708542,-3.13356294323,1
-112.16083606,32.1727487671,1
-16.3527472173,0.414599606336,1
-17.7114783603,-41.1295133865,1
280.770436655,-46.4261677144,1
-61.7210193024,-16.4335345673,1
-87.1329889493,24.8264178733,1
7.20829870704,-45.7982824498,1
-47.7018208614,-23.5986042225,1
-47.4980857159,-9.46694826439,1
-78.6036158509,-44.8716553758,1
51.4073085745,42.1094485298,1
-16.0942215755,-8.96405072596,1
35.5246414465,18.6993273251,1
24.6857799718,25.2897814116,1
2.26672411874,-4.70462551719,1
8.94369834958,-26.7319319335,1
-48.868515012,0.514384599396,1
-25.0149016732,-39.3910973439,1
-23.3885829831,27.2566637745,1
281.182919597,-43.4675006274,1
-98.5195462245,-5.54861878563,1
-58.3924710006,33.0972443285,1
100.742081317,70.2699682151,1
-18.8086229591,18.6724902621,1
-54.7141194668,-0.906010243899,1
-38.8047355047,-56.6263019215,1
-135.197992695,35.9723886353,1
-29.0874112547,35.5116776386,1
-53.693939673,8.57175691859,1
-78.2748211811,39.9873350006,1
-42.4408715234,-53.7670595308,1
-15.3537771981,-10.6283365135,1
2.01435815787,23.6508019399,1
-0.855643811647,33.1889240907,1
65.1599875144,114.377482744,1
-105.760062023,-46.8580016451,1
-65.6837857658,-49.3813287552,1
280.370273866,-49.4714198057,1
22.1604539879,30.668021035,1
-38.0140138867,45.4196289698,1
35.7697731426,21.2224501906,1
88.7205021908,83.5013560596,1
48.0976501646,-37.5264030272,1
-12.0795782176,-48.4239175491,1
92.7619118703,98.9901910761,1
4.28181702846,-1.5781478884,1
-27.5474803982,-61.8013500529,1
-61.2812012851,29.6230193202,1
-25.1368444734,-38.7966721477,1
-59.7629840601,15.0537527215,1
-25.124851005,-40.1140960769,1
110.908137881,81.3775526282,1
-9.19761647184,26.4710477986,1
280.595365435,-47.7584655043,1
-15.2870829753,6.21011345997,1
7.65139058387,-49.4033750651,1
19.817542776,7.03155028983,1
21.4791427095,-38.0925935505,1
-8.86400192958,-4.45834513771,1
-37.7951285833,-24.7050320144,1
18.9103344122,-45.2978362645,1
-30.8021365289,44.2942884987,1
-8.99286138432,2.84269310599,1
-11.381243207,0.00644492631909,1
-41.4995347288,-15.715761854,1
-40.2452053402,-46.3530466047,1
-42.0407811862,-10.5340192174,1
-5.02521993912,-39.3129200773,1
-33.6918985314,-28.6547005469,1
-12.4073696907,-20.5210427026,1
-25.8519199417,-15.6141232915,1
-37.0933878403,13.2297482605,1
-77.5253168701,-26.6218302216,1
-109.061872052,-4.14806471161,1
-75.6059878433,21.5229010251,1
1.02689415187,-11.9931353053,1
-32.7146185911,3.07293726467,1
-139.901305246,17.6915771862,1
-7.71065669536,-31.2535990508,1
-38.0896592943,7.08682725264,1
-27.2046139337,-10.2067127275,1
-46.8101667547,-10.2116430711,1
-38.2814330036,-10.8274227713,1
-55.7794999682,25.5843602914,1
101.851934201,55.4868948416,1
5.93896311053,-18.7449666599,1
14.7054459385,28.5916532784,1
3.48420049132,23.0691451671,1
-29.4623597484,-42.7102708039,1
-72.5522311362,-15.0269507084,1
-48.9734528769,-5.21472493282,1
13.9998260103,27.9177478074,1
13.726905645,-39.182693762,1
27.0881155846,-43.0406094595,1
281.426799619,-41.5815086122,1
-64.2183342269,2.53352417199,1
12.0112539877,-36.3946131387,1
-14.9717726215,31.9835602881,1
-3.28221219905,7.43519198552,1
44.7017705896,54.5058633452,1
-41.8550261777,1.27358930462,1
-41.6164648847,-19.0146377537,1
-43.7057384434,-6.80939184756,1
-81.0436547553,37.5436671237,1
-14.3981158091,62.1800955451,1
2.09833688088,9.47179878999,1
37.991427634,13.3585969745,1
-7.16603373313,-6.88718049776,1
281.108012363,-43.9173193064,1
-89.541348334,26.204709679,1
-61.8081757886,-28.4519347265,1
14.3301969836,-47.003410947,1
-31.0010367691,24.9265405988,1
-15.5768575004,2.94517503324,1
24.8515515374,-8.65728089254,1
282.201991733,-35.8024987735,1
75.3086307111,79.1998746896,1
-7.66486023726,-7.17522681811,1
-51.8472603666,-15.4440647785,1
-56.3572306442,-30.608633466,1
-50.7812415977,-28.4118489978,1
-65.370827489,38.2157679732,1
-114.424895886,-23.3513221606,1
-155.87080118,33.6587551949,1
